Time,Time_Seconds,Irradiance_W_m2,Generated_Power_W
09:00:00,32400,695.6183,1001.6904
09:00:01,32401,695.6742,1001.7708
09:00:02,32402,695.73,1001.8512
09:00:03,32403,695.7858,1001.9316
09:00:04,32404,695.8417,1002.012
09:00:05,32405,695.8975,1002.0924
09:00:06,32406,695.9533,1002.1728
09:00:07,32407,696.0091,1002.2532
09:00:08,32408,696.065,1002.3335
09:00:09,32409,696.1208,1002.4139
09:00:10,32410,696.1766,1002.4943
09:00:11,32411,696.2324,1002.5747
09:00:12,32412,696.2883,1002.6551
09:00:13,32413,696.3441,1002.7355
09:00:14,32414,696.3999,1002.8159
09:00:15,32415,696.4557,1002.8962
09:00:16,32416,696.5115,1002.9766
09:00:17,32417,696.5674,1003.057
09:00:18,32418,696.6232,1003.1374
09:00:19,32419,696.679,1003.2178
09:00:20,32420,696.7348,1003.2981
09:00:21,32421,696.7906,1003.3785
09:00:22,32422,696.8465,1003.4589
09:00:23,32423,696.9023,1003.5393
09:00:24,32424,696.9581,1003.6196
09:00:25,32425,697.0139,1003.7
09:00:26,32426,697.0697,1003.7804
09:00:27,32427,697.1255,1003.8608
09:00:28,32428,697.1813,1003.9411
09:00:29,32429,697.2372,1004.0215
09:00:30,32430,697.293,1004.1019
09:00:31,32431,697.3488,1004.1822
09:00:32,32432,697.4046,1004.2626
09:00:33,32433,697.4604,1004.343
09:00:34,32434,697.5162,1004.4233
09:00:35,32435,697.572,1004.5037
09:00:36,32436,697.6278,1004.584
09:00:37,32437,697.6836,1004.6644
09:00:38,32438,697.7394,1004.7448
09:00:39,32439,697.7952,1004.8251
09:00:40,32440,697.851,1004.9055
09:00:41,32441,697.9068,1004.9858
09:00:42,32442,697.9626,1005.0662
09:00:43,32443,698.0184,1005.1465
09:00:44,32444,698.0742,1005.2269
09:00:45,32445,698.13,1005.3073
09:00:46,32446,698.1858,1005.3876
09:00:47,32447,698.2416,1005.468
09:00:48,32448,698.2974,1005.5483
09:00:49,32449,698.3532,1005.6287
09:00:50,32450,698.409,1005.709
09:00:51,32451,698.4648,1005.7893
09:00:52,32452,698.5206,1005.8697
09:00:53,32453,698.5764,1005.95
09:00:54,32454,698.6322,1006.0304
09:00:55,32455,698.688,1006.1107
09:00:56,32456,698.7438,1006.1911
09:00:57,32457,698.7996,1006.2714
09:00:58,32458,698.8554,1006.3517
09:00:59,32459,698.9112,1006.4321
09:01:00,32460,698.9669,1006.5124
09:01:01,32461,699.0227,1006.5927
09:01:02,32462,699.0785,1006.6731
09:01:03,32463,699.1343,1006.7534
09:01:04,32464,699.1901,1006.8337
09:01:05,32465,699.2459,1006.9141
09:01:06,32466,699.3017,1006.9944
09:01:07,32467,699.3575,1007.0747
09:01:08,32468,699.4132,1007.1551
09:01:09,32469,699.469,1007.2354
09:01:10,32470,699.5248,1007.3157
09:01:11,32471,699.5806,1007.396
09:01:12,32472,699.6364,1007.4764
09:01:13,32473,699.6921,1007.5567
09:01:14,32474,699.7479,1007.637
09:01:15,32475,699.8037,1007.7173
09:01:16,32476,699.8595,1007.7976
09:01:17,32477,699.9152,1007.878
09:01:18,32478,699.971,1007.9583
09:01:19,32479,700.0268,1008.0386
09:01:20,32480,700.0826,1008.1189
09:01:21,32481,700.1383,1008.1992
09:01:22,32482,700.1941,1008.2795
09:01:23,32483,700.2499,1008.3598
09:01:24,32484,700.3057,1008.4401
09:01:25,32485,700.3614,1008.5205
09:01:26,32486,700.4172,1008.6008
09:01:27,32487,700.473,1008.6811
09:01:28,32488,700.5287,1008.7614
09:01:29,32489,700.5845,1008.8417
09:01:30,32490,700.6403,1008.922
09:01:31,32491,700.696,1009.0023
09:01:32,32492,700.7518,1009.0826
09:01:33,32493,700.8076,1009.1629
09:01:34,32494,700.8633,1009.2432
09:01:35,32495,700.9191,1009.3235
09:01:36,32496,700.9748,1009.4038
09:01:37,32497,701.0306,1009.4841
09:01:38,32498,701.0864,1009.5644
09:01:39,32499,701.1421,1009.6447
09:01:40,32500,701.1979,1009.725
09:01:41,32501,701.2536,1009.8052
09:01:42,32502,701.3094,1009.8855
09:01:43,32503,701.3652,1009.9658
09:01:44,32504,701.4209,1010.0461
09:01:45,32505,701.4767,1010.1264
09:01:46,32506,701.5324,1010.2067
09:01:47,32507,701.5882,1010.287
09:01:48,32508,701.6439,1010.3673
09:01:49,32509,701.6997,1010.4475
09:01:50,32510,701.7554,1010.5278
09:01:51,32511,701.8112,1010.6081
09:01:52,32512,701.8669,1010.6884
09:01:53,32513,701.9227,1010.7687
09:01:54,32514,701.9784,1010.8489
09:01:55,32515,702.0342,1010.9292
09:01:56,32516,702.0899,1011.0095
09:01:57,32517,702.1457,1011.0898
09:01:58,32518,702.2014,1011.17
09:01:59,32519,702.2572,1011.2503
09:02:00,32520,702.3129,1011.3306
09:02:01,32521,702.3686,1011.4108
09:02:02,32522,702.4244,1011.4911
09:02:03,32523,702.4801,1011.5714
09:02:04,32524,702.5359,1011.6516
09:02:05,32525,702.5916,1011.7319
09:02:06,32526,702.6473,1011.8122
09:02:07,32527,702.7031,1011.8924
09:02:08,32528,702.7588,1011.9727
09:02:09,32529,702.8145,1012.0529
09:02:10,32530,702.8703,1012.1332
09:02:11,32531,702.926,1012.2135
09:02:12,32532,702.9817,1012.2937
