point_index,latitude,longitude,altitude_m,distance_from_prev_m,bearing_deg,slope_deg
0,-26.811498,27.827607,1486.0,0.0,0.0,0.0
1,-26.811514,27.827613,1486.0,1.88,161.5,0.0
2,-26.811566,27.827618,1486.0,5.8,175.1,0.0
3,-26.811614,27.827608,1486.0,5.43,190.53,0.0
4,-26.811662,27.827586,1485.0,5.77,202.25,-9.8379
5,-26.811699,27.827546,1485.0,5.72,223.98,0.0
6,-26.811731,27.827492,1485.0,6.43,236.42,0.0
7,-26.81176,27.827425,1485.0,7.39,244.13,0.0
8,-26.811788,27.827357,1485.0,7.43,245.23,0.0
9,-26.811805,27.827283,1485.0,7.58,255.57,0.0
10,-26.81182,27.827197,1485.0,8.7,258.94,0.0
11,-26.811827,27.827106,1485.0,9.06,265.07,0.0
12,-26.811828,27.826984,1486.0,12.11,269.47,4.7214
13,-26.811813,27.826357,1485.0,62.25,271.54,-0.9204
14,-26.812011,27.826422,1486.0,22.94,163.67,2.4958
15,-26.812057,27.826437,1486.0,5.33,163.77,0.0
16,-26.811962,27.826853,1486.0,42.61,75.65,0.0
17,-26.81191,27.826984,1486.0,14.23,66.02,0.0
18,-26.811901,27.827015,1486.0,3.24,71.98,0.0
19,-26.811888,27.827106,1486.0,9.15,80.91,0.0
20,-26.811882,27.827167,1486.0,6.09,83.71,0.0
21,-26.811876,27.827218,1486.0,5.11,82.49,0.0
22,-26.81187,27.827257,1485.0,3.93,80.22,-14.285
23,-26.811863,27.827291,1485.0,3.46,77.01,0.0
24,-26.811856,27.827319,1485.0,2.89,74.35,0.0
25,-26.811831,27.827394,1485.0,7.95,69.52,0.0
26,-26.811486,27.828287,1489.0,96.57,66.59,2.3719
27,-26.810684,27.82789,1488.0,97.49,336.16,-0.5877
28,-26.810483,27.82779,1488.0,24.45,336.06,0.0
29,-26.810418,27.827757,1488.0,7.94,335.62,0.0
30,-26.810372,27.827737,1488.0,5.49,338.79,0.0
31,-26.810346,27.827731,1488.0,2.95,348.36,0.0
32,-26.810321,27.827727,1488.0,2.81,351.87,0.0
33,-26.810234,27.827722,1489.0,9.69,357.06,5.894
34,-26.810206,27.827723,1489.0,3.12,1.83,0.0
35,-26.810159,27.827728,1489.0,5.25,5.42,0.0
36,-26.810116,27.827735,1489.0,4.83,8.27,0.0
37,-26.810085,27.827741,1489.0,3.5,9.8,0.0
38,-26.81006,27.827749,1489.0,2.89,15.94,0.0
39,-26.81001,27.827761,1490.0,5.69,12.09,9.9749
40,-26.809947,27.827784,1490.0,7.37,18.05,0.0
41,-26.809812,27.827835,1490.0,15.84,18.63,0.0
42,-26.808819,27.828275,1490.0,118.74,21.58,0.0
43,-26.807874,27.82866,1493.0,111.81,19.98,1.5369
44,-26.807548,27.828804,1495.0,38.96,21.52,2.9383
45,-26.806996,27.829067,1495.0,66.7,23.04,0.0
46,-26.80615,27.829424,1495.0,100.52,20.64,0.0
47,-26.805612,27.829635,1495.0,63.38,19.29,0.0
48,-26.805472,27.82969,1495.0,16.5,19.32,0.0
49,-26.805283,27.829754,1495.0,21.95,16.82,0.0
50,-26.805197,27.829771,1495.0,9.71,10.01,0.0
51,-26.805102,27.829782,1495.0,10.62,5.9,0.0
52,-26.80501,27.829791,1495.0,10.27,4.99,0.0
53,-26.804877,27.829789,1495.0,14.79,359.23,0.0
54,-26.804551,27.829718,1495.0,36.93,349.0,0.0
55,-26.804474,27.829714,1495.0,8.57,357.35,0.0
56,-26.804371,27.82972,1495.0,11.47,2.98,0.0
57,-26.804327,27.829714,1495.0,4.93,353.06,0.0
58,-26.804284,27.829712,1496.0,4.79,357.62,11.8029
59,-26.80422,27.829716,1496.0,7.13,3.19,0.0
60,-26.804172,27.829726,1496.0,5.43,10.53,0.0
61,-26.804128,27.829738,1496.0,5.04,13.68,0.0
62,-26.80408,27.829755,1496.0,5.6,17.54,0.0
63,-26.804033,27.829775,1495.0,5.59,20.8,-10.1417
64,-26.803992,27.829794,1495.0,4.93,22.47,0.0
65,-26.803942,27.82982,1495.0,6.13,24.9,0.0
66,-26.803904,27.829844,1495.0,4.85,29.41,0.0
67,-26.803865,27.829873,1495.0,5.2,33.57,0.0
68,-26.803825,27.829899,1495.0,5.14,30.12,0.0
69,-26.803789,27.82993,1495.0,5.05,37.55,0.0
70,-26.803753,27.829962,1495.0,5.11,38.43,0.0
71,-26.803722,27.829995,1495.0,4.75,43.54,0.0
72,-26.803691,27.83004,1495.0,5.64,52.34,0.0
73,-26.803669,27.830085,1495.0,5.09,61.29,0.0
74,-26.803647,27.830127,1495.0,4.83,59.59,0.0
75,-26.803626,27.830177,1495.0,5.48,64.8,0.0
76,-26.803498,27.83036,1495.0,23.07,51.92,0.0
77,-26.803424,27.830445,1495.0,11.78,45.71,0.0
78,-26.803343,27.830522,1495.0,11.81,40.31,0.0
79,-26.803284,27.830579,1495.0,8.66,40.77,0.0
80,-26.803221,27.830622,1495.0,8.2,31.35,0.0
81,-26.803192,27.830642,1495.0,3.79,31.61,0.0
82,-26.803134,27.830678,1495.0,7.37,28.99,0.0
83,-26.803088,27.830705,1495.0,5.77,27.65,0.0
84,-26.803017,27.830742,1495.0,8.71,24.94,0.0
85,-26.802956,27.830771,1495.0,7.37,22.99,0.0
86,-26.802854,27.830811,1494.0,12.02,19.29,-4.7571
87,-26.802745,27.830867,1494.0,13.33,24.63,0.0
88,-26.802433,27.830917,1493.0,35.05,8.14,-1.6344
89,-26.802265,27.830971,1492.0,19.43,16.01,-2.9456
90,-26.801537,27.831224,1492.0,84.75,17.23,0.0
91,-26.801056,27.831392,1491.0,56.02,17.32,-1.0226
92,-26.800837,27.831464,1491.0,25.38,16.35,0.0
93,-26.800661,27.831521,1491.0,20.37,16.12,0.0
94,-26.800539,27.83156,1492.0,14.11,15.93,4.0547
95,-26.800452,27.831584,1492.0,9.96,13.83,0.0
96,-26.800369,27.831599,1492.0,9.35,9.16,0.0
97,-26.800294,27.831612,1492.0,8.44,8.79,0.0
98,-26.80023,27.831621,1492.0,7.17,7.15,0.0
99,-26.800126,27.83163,1493.0,11.6,4.42,4.9277
100,-26.800074,27.831633,1493.0,5.79,2.95,0.0
101,-26.799993,27.831635,1493.0,9.01,1.26,0.0
102,-26.799922,27.831634,1493.0,7.9,359.28,0.0
103,-26.799819,27.831622,1492.0,11.51,354.06,-4.9634
104,-26.799779,27.831619,1492.0,4.46,356.17,0.0
105,-26.799716,27.831603,1492.0,7.18,347.23,0.0
106,-26.799665,27.831593,1491.0,5.76,350.07,-9.8538
107,-26.799584,27.831577,1491.0,9.15,350.0,0.0
108,-26.799513,27.831559,1490.0,8.09,347.25,-7.0427
109,-26.799426,27.831533,1490.0,10.01,345.06,0.0
110,-26.799361,27.831519,1490.0,7.36,349.12,0.0
111,-26.799247,27.83149,1489.0,13.0,347.21,-4.3991
112,-26.799124,27.831455,1489.0,14.11,345.75,0.0
113,-26.799,27.831406,1488.0,14.62,340.57,-3.9127
114,-26.798702,27.831286,1488.0,35.21,340.23,0.0
115,-26.798538,27.831203,1487.0,20.01,335.69,-2.8609
116,-26.79833,27.831096,1487.0,25.45,335.34,0.0
117,-26.798075,27.830959,1487.0,31.45,334.38,0.0
118,-26.797795,27.830798,1487.0,35.0,332.83,0.0
119,-26.797438,27.830598,1486.0,44.38,333.43,-1.2907
120,-26.797135,27.830428,1486.0,37.68,333.4,0.0
121,-26.796742,27.830212,1486.0,48.68,333.87,0.0
122,-26.796421,27.830046,1485.0,39.31,335.22,-1.4571
123,-26.795853,27.829741,1483.0,70.04,334.39,-1.6357
124,-26.79494,27.829196,1484.0,115.03,331.95,0.4981
125,-26.793333,27.82824,1480.0,202.32,332.03,-1.1326
126,-26.792516,27.827752,1480.0,102.95,331.93,0.0
127,-26.789822,27.82612,1476.0,340.55,331.6,-0.6729
128,-26.78854,27.825344,1476.0,162.03,331.62,0.0
129,-26.787874,27.824949,1475.0,83.79,332.1,-0.6837
130,-26.787578,27.824771,1474.0,37.36,331.77,-1.5334
131,-26.787362,27.824654,1474.0,26.68,334.19,0.0
132,-26.787195,27.824562,1474.0,20.69,333.81,0.0
133,-26.78699,27.824465,1474.0,24.75,337.1,0.0
134,-26.786834,27.824408,1474.0,18.25,341.93,0.0
135,-26.786662,27.824351,1475.0,19.94,343.52,2.8703
136,-26.786494,27.824303,1475.0,19.28,345.69,0.0
137,-26.786333,27.824252,1475.0,18.6,344.21,0.0
138,-26.786049,27.824186,1475.0,32.25,348.28,0.0
139,-26.78572,27.824123,1475.0,37.11,350.3,0.0
140,-26.785497,27.824084,1476.0,25.1,351.13,2.2818
141,-26.785268,27.824037,1476.0,25.89,349.62,0.0
142,-26.785034,27.824007,1476.0,26.19,353.47,0.0
143,-26.784834,27.82399,1475.0,22.3,355.66,-2.5673
144,-26.784694,27.823982,1475.0,15.59,357.08,0.0
145,-26.784584,27.823977,1474.0,12.24,357.68,-4.6701
146,-26.784378,27.823978,1473.0,22.91,0.25,-2.4997
147,-26.784183,27.823993,1472.0,21.73,3.93,-2.6344
148,-26.783848,27.82402,1471.0,37.35,4.12,-1.5338
149,-26.783556,27.824028,1471.0,32.48,1.4,0.0
150,-26.78325,27.824043,1471.0,34.06,2.51,0.0
151,-26.781984,27.824131,1472.0,141.04,3.55,0.4062
152,-26.78082,27.824212,1471.0,129.68,3.55,-0.4418
153,-26.77882,27.824349,1470.0,222.81,3.5,-0.2572
154,-26.777327,27.824467,1470.0,166.43,4.04,0.0
155,-26.776917,27.82448,1470.0,45.61,1.62,0.0
156,-26.775435,27.824599,1468.0,165.21,4.1,-0.6936
